"id","environment","vm_name","vm_number","vm_cpu","vm_ram","vm_data_disk","vm_template","is_windows","vm_datacenter","vm_cluster","vm_datastore","net1_vlan_id","net1_subnet","net1_mask","net1_gw","net1_ip","net2_vlan_id","net2_subnet","net2_mask","net2_ip","net3_vlan_id","net3_subnet","net3_mask","net3_ip","net4_vlan_id","net4_subnet","net4_mask","net4_ip","resource_pool","vm_folder","full_ip_1","full_ip_2","full_ip_3","full_ip_4"
"1","it","cbf-pm-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","245","585","192.168.102","24","245","","","","","","","","","xitg","xitg","172.31.49.245","192.168.102.245","",""
"2","it","cbf-int-prov-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","243","585","192.168.102","24","243","","","","","","","","","xitg","xitg","172.31.49.243","192.168.102.243","",""
"3","it","cbf-sicap-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","241","585","192.168.102","24","241","","","","","","","","","xitg","xitg","172.31.49.241","192.168.102.241","",""
"4","it","cbf-sicap-dc-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","239","585","192.168.102","24","239","","","","","","","","","xitg","xitg","172.31.49.239","192.168.102.239","",""
"5","it","cbf-ns-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","237","585","192.168.102","24","237","","","","","","","","","xitg","xitg","172.31.49.237","192.168.102.237","",""
"6","it","cbf-scapi-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","235","584","192.168.101","24","235","","","","","","","","","xitg","xitg","172.31.49.235","192.168.101.235","",""
"7","it","cbf-sso-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","233","584","192.168.101","24","233","","","","","","","","","xitg","xitg","172.31.49.233","192.168.101.233","",""
"8","it","cbf-ccapi-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","231","584","192.168.101","24","231","","","","","","","","","xitg","xitg","172.31.49.231","192.168.101.231","",""
"9","it","cbf-bpapi-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","229","584","192.168.101","24","229","","","","","","","","","xitg","xitg","172.31.49.229","192.168.101.229","",""
"10","it","cbf-saapi-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","227","584","192.168.101","24","227","","","","","","","","","xitg","xitg","172.31.49.227","192.168.101.227","",""
"11","it","cbf-mrpm-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","225","585","192.168.102","24","225","","","","","","","","","xitg","xitg","172.31.49.225","192.168.102.225","",""
"12","it","cbf-dov-m-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","223","585","192.168.102","24","223","","","","","","","","","xitg","xitg","172.31.49.223","192.168.102.223","",""
"13","it","cbf-rep-lb","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","221","585","192.168.102","24","221","","","","","","","","","xitg","xitg","172.31.49.221","192.168.102.221","",""
