"id","environment","vm_name","vm_number","vm_cpu","vm_ram","vm_data_disk","vm_template","is_windows","vm_datacenter","vm_cluster","vm_datastore","net1_vlan_id","net1_subnet","net1_mask","net1_gw","net1_ip","net2_vlan_id","net2_subnet","net2_mask","net2_ip","net3_vlan_id","net3_subnet","net3_mask","net3_ip","net4_vlan_id","net4_subnet","net4_mask","net4_ip","resource_pool","vm_folder","full_ip_1","full_ip_2","full_ip_3","full_ip_4"
"1","it","cbf-db","1","tiny","small","small","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","1","585","192.168.102","24","1","","","","","","","","","xitg","xitg","172.31.49.1","192.168.102.1","",""
"2","it","cbf-apisv","1","tiny","small","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","2","585","192.168.102","24","2","","","","","","","","","xitg","xitg","172.31.49.2","192.168.102.2","",""
"3","it","cbf-pws","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","4","881","172.25.109","24","1","584","192.168.101","24","1","","","","","xitg","xitg","172.31.49.4","172.25.109.1","192.168.101.1",""
"4","it","cbf-inf","1","tiny","tiny","huge","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","6","","","","","584","192.168.101","24","3","","","","","xitg","xitg","172.31.49.6","","192.168.101.3",""
"5","it","cbf-swf","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","7","881","172.25.109","24","4","584","192.168.101","24","4","","","","","xitg","xitg","172.31.49.7","172.25.109.4","192.168.101.4",""
"6","it","cbf-prov","1","tiny","medium","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","9","583","172.25.90","29","4","585","192.168.102","24","4","","","","","xitg","xitg","172.31.49.9","172.25.90.4","192.168.102.4",""
"7","it","cbf-dovm","1","tiny","tiny","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","11","","","","","585","192.168.102","24","6","","","","","xitg","xitg","172.31.49.11","","192.168.102.6",""
"8","it","cbf-dovk","1","tiny","small","small","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","12","584","192.168.101","24","7","585","192.168.102","24","7","","","","","xitg","xitg","172.31.49.12","192.168.101.7","192.168.102.7",""
"9","it","cbf-dovk","2","tiny","small","small","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","13","584","192.168.101","24","8","585","192.168.102","24","8","","","","","xitg","xitg","172.31.49.13","192.168.101.8","192.168.102.8",""
"10","it","cbf-dovw","1","tiny","small","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","14","584","192.168.101","24","9","586","192.168.100","24","9","587","192.168.103","24","9","xitg","xitg","172.31.49.14","192.168.101.9","192.168.100.9","192.168.103.9"
"11","it","cbf-dovw","2","tiny","small","tiny","t-ubuntu-22-04","false","cyberfiltre","cyberfiltre","vsanDatastore","580","172.31.49","24","172.31.49.254","15","584","192.168.101","24","10","586","192.168.100","24","10","587","192.168.103","24","10","xitg","xitg","172.31.49.15","192.168.101.10","192.168.100.10","192.168.103.10"
